value_binned,n,p,bin_numeric,cluster_removed,h3_resolution
"[440,450)",,,450,all_data,5
"[450,460)",,,460,all_data,5
"[460,470)",,,470,all_data,5
"[470,480)",,,480,all_data,5
"[480,490)",,,490,all_data,5
"[490,500)",,,500,all_data,5
"[500,510)",,,510,all_data,5
"[510,520)",,,520,all_data,5
"[520,530)",,,530,all_data,5
"[530,540)",,,540,all_data,5
"[540,550)",,,550,all_data,5
"[550,560)",,,560,all_data,5
"[560,570)",,,570,all_data,5
"[570,580)",,,580,all_data,5
"[590,600)",,,600,all_data,5
"[600,610)",,,610,all_data,5
"[610,620)",,,620,all_data,5
"[620,630)",,,630,all_data,5
"[640,650)",,,650,all_data,5
"[650,660)",,,660,all_data,5
"[660,670)",,,670,all_data,5
"[670,680)",,,680,all_data,5
"[680,690)",,,690,all_data,5
"[690,700)",,,700,all_data,5
"[700,710)",,,710,all_data,5
"[710,720)",,,720,all_data,5
"[730,740)",,,740,all_data,5
"[750,760)",,,760,all_data,5
"[770,780)",,,780,all_data,5
"[800,810)",,,810,all_data,5
"[820,830)",,,830,all_data,5
"[840,850)",,,850,all_data,5
"[850,860)",,,860,all_data,5
"[990,1e+03)",,,1000,all_data,5
"[1.06e+03,1.07e+03)",,,1070,all_data,5
"",,,,all_data,5
"[0,10)",17,0.0274636510500808,10,0,5
"[10,20)",18,0.0290791599353796,20,0,5
"[20,30)",15,0.024232633279483,30,0,5
"[30,40)",23,0.037156704361874,40,0,5
"[40,50)",10,0.0161550888529887,50,0,5
"[50,60)",21,0.0339256865912763,60,0,5
"[60,70)",21,0.0339256865912763,70,0,5
"[70,80)",22,0.0355411954765751,80,0,5
"[80,90)",28,0.0452342487883683,90,0,5
"[90,100)",27,0.0436187399030695,100,0,5
"[100,110)",24,0.0387722132471729,110,0,5
"[110,120)",22,0.0355411954765751,120,0,5
"[120,130)",27,0.0436187399030695,130,0,5
"[130,140)",18,0.0290791599353796,140,0,5
"[140,150)",24,0.0387722132471729,150,0,5
"[150,160)",18,0.0290791599353796,160,0,5
"[160,170)",33,0.0533117932148627,170,0,5
"[170,180)",22,0.0355411954765751,180,0,5
"[180,190)",26,0.0420032310177706,190,0,5
"[190,200)",20,0.0323101777059774,200,0,5
"[200,210)",25,0.0403877221324717,210,0,5
"[210,220)",20,0.0323101777059774,220,0,5
"[220,230)",16,0.0258481421647819,230,0,5
"[230,240)",15,0.024232633279483,240,0,5
"[240,250)",13,0.0210016155088853,250,0,5
"[250,260)",19,0.0306946688206785,260,0,5
"[260,270)",10,0.0161550888529887,270,0,5
"[270,280)",13,0.0210016155088853,280,0,5
"[280,290)",16,0.0258481421647819,290,0,5
"[290,300)",13,0.0210016155088853,300,0,5
"[300,310)",,,310,0,5
"[310,320)",,,320,0,5
"[320,330)",,,330,0,5
"[330,340)",,,340,0,5
"[340,350)",,,350,0,5
"[350,360)",,,360,0,5
"[360,370)",12,0.0193861066235864,370,0,5
"[370,380)",,,380,0,5
"[380,390)",,,390,0,5
"[390,400)",,,400,0,5
"[400,410)",,,410,0,5
"[410,420)",,,420,0,5
"[420,430)",,,430,0,5
"[430,440)",,,440,0,5
"[440,450)",11,0.0177705977382876,450,0,5
"[450,460)",,,460,0,5
"[460,470)",,,470,0,5
"[470,480)",,,480,0,5
"[480,490)",,,490,0,5
"[490,500)",,,500,0,5
"[500,510)",,,510,0,5
"[510,520)",,,520,0,5
