value_binned,n,p,bin_numeric,cluster_removed,h3_resolution
"[15.8,20)",2605,0.0295894954451487,20,0,5
"[25.1,31.6)",4058,0.0460937322519821,31.6,0,5
"[31.6,39.8)",1860,0.0211272405097799,39.8,0,5
"[39.8,50.1)",5473,0.0621663372634544,50.1,0,5
"[50.1,63.1)",5631,0.06396101683364,63.1,0,5
"[63.1,79.4)",7385,0.0838842318089916,79.4,0,5
"[79.4,100)",9782,0.111111111111111,100,0,5
"[100,126)",12549,0.142540721052273,126,0,5
"[126,158)",12211,0.138701469819851,158,0,5
"[158,200)",10222,0.116108952952134,200,0,5
"[200,251)",7537,0.085610758990436,251,0,5
"[251,316)",4581,0.0520343488039256,316,0,5
"[316,398)",2056,0.0233535518753266,398,0,5
"[398,501)",532,0.00604284513505532,501,0,5
"[501,631)",25,0.000283968286421772,631,0,5
"[12.6,15.8)",1584,0.0161497522481189,15.8,1,5
"[15.8,20)",2727,0.027803266654432,20,1,5
"[25.1,31.6)",5030,0.0512836198283069,31.6,1,5
"[31.6,39.8)",2415,0.0246222548479843,39.8,1,5
"[39.8,50.1)",8057,0.0821455516812463,50.1,1,5
"[50.1,63.1)",8599,0.087671540139883,63.1,1,5
"[63.1,79.4)",9449,0.0963377582023205,79.4,1,5
"[79.4,100)",10477,0.106818784282539,100,1,5
"[100,126)",12580,0.128260027324076,126,1,5
"[126,158)",12211,0.124497869129912,158,1,5
"[158,200)",10222,0.104218918863808,200,1,5
"[200,251)",7537,0.0768438653371669,251,1,5
"[251,316)",4581,0.0467058175812076,316,1,5
"[316,398)",2056,0.0209620521604372,398,1,5
"[398,501)",532,0.00542403295201974,501,1,5
"[501,631)",25,0.000254888766542281,631,1,5
"[12.6,15.8)",1580,0.016302777663131,15.8,2,5
"[15.8,20)",2711,0.0279726773700937,20,2,5
"[25.1,31.6)",4977,0.0513537496388625,31.6,2,5
"[31.6,39.8)",2386,0.0246192579140699,39.8,2,5
"[39.8,50.1)",7933,0.0818543893681126,50.1,2,5
"[50.1,63.1)",8486,0.0875603615502084,63.1,2,5
"[63.1,79.4)",9302,0.0959800239382558,79.4,2,5
"[79.4,100)",10306,0.106339510503942,100,2,5
"[100,126)",12408,0.128028395724132,126,2,5
"[126,158)",12060,0.124437657352759,158,2,5
"[158,200)",10132,0.104544141318255,200,2,5
"[200,251)",7464,0.0770151471377275,251,2,5
"[251,316)",4558,0.0470304180940196,316,2,5
"[316,398)",2056,0.0212142473894919,398,2,5
"[398,501)",532,0.00548928969416815,501,2,5
"[501,631)",25,0.000257955342771059,631,2,5
"[12.6,15.8)",1582,0.0394828791055206,15.8,3,5
"[15.8,20)",2722,0.0679345113307377,20,3,5
"[25.1,31.6)",4986,0.124438454627134,31.6,3,5
