component,var_explained
1,0.340622155990048
2,0.537134367640997
3,0.699648831074087
4,0.814508032757358
5,0.90072059948432
6,0.956465246424943
7,0.985467778920728
8,0.993227869053023
9,0.997983072342024
10,0.999483157258846
11,1
