bin,app_cluster,n_uid_date,p_uid_date,bin_numeric,metric
"[12.6,15.8)",6,50905,0.0670742553710133,15.8,total_distance
"[12.6,15.8)",1,7466,0.0643909338669059,15.8,total_distance
"[12.6,15.8)",8,527,0.0580780251267357,15.8,total_distance
"[12.6,15.8)",2,12,0.0740740740740741,15.8,total_distance
"[12.6,15.8)",7,271669,0.0854097147423866,15.8,total_distance
"[12.6,15.8)",All Data,483564,0.0441422014157045,15.8,total_distance
"[15.8,20)",6,51723,0.0681520815353093,20,total_distance
"[15.8,20)",3,4723,0.0585225019825535,20,total_distance
"[15.8,20)",4,143393,0.067425721111911,20,total_distance
"[15.8,20)",1,7344,0.0633387380549902,20,total_distance
"[15.8,20)",8,584,0.0643597090588495,20,total_distance
"[15.8,20)",7,263302,0.0827792229186984,20,total_distance
"[15.8,20)",All Data,471083,0.0430028717388274,20,total_distance
"[20,25.1)",3,3191,0.0395395519429025,25.1,total_distance
"[20,25.1)",4,136964,0.0644027007341487,25.1,total_distance
"[20,25.1)",6,52342,0.0689676981559686,25.1,total_distance
"[20,25.1)",1,7020,0.0605443819643288,25.1,total_distance
"[20,25.1)",8,431,0.047498346925281,25.1,total_distance
"[20,25.1)",2,16,0.0987654320987654,25.1,total_distance
"[20,25.1)",7,242571,0.0762616268870407,25.1,total_distance
"[20,25.1)",All Data,442542,0.0403975029135931,25.1,total_distance
"[25.1,31.6)",4,123373,0.05801199145523,31.6,total_distance
"[25.1,31.6)",3,1971,0.0244225812846947,31.6,total_distance
"[25.1,31.6)",6,50913,0.0670847964581947,31.6,total_distance
"[25.1,31.6)",1,6425,0.055412771242281,31.6,total_distance
"[25.1,31.6)",8,402,0.0443024024685916,31.6,total_distance
"[25.1,31.6)",7,214470,0.0674269847527677,31.6,total_distance
"[25.1,31.6)",All Data,397569,0.0362921368725551,31.6,total_distance
"[31.6,39.8)",4,108758,0.0511397807193463,39.8,total_distance
"[31.6,39.8)",3,1243,0.0154019627279937,39.8,total_distance
"[31.6,39.8)",6,46891,0.0617852648777563,39.8,total_distance
"[31.6,39.8)",1,5461,0.04709869941698,39.8,total_distance
"[31.6,39.8)",8,327,0.0360370288737051,39.8,total_distance
"[31.6,39.8)",7,174940,0.0549991920205585,39.8,total_distance
"[31.6,39.8)",5,10,0.0114025085518814,39.8,total_distance
"[31.6,39.8)",All Data,337631,0.0308206888978206,39.8,total_distance
"[39.8,50.1)",4,91540,0.0430435970415873,50.1,total_distance
"[39.8,50.1)",3,856,0.0106066613798573,50.1,total_distance
"[39.8,50.1)",6,40889,0.0538768142199266,50.1,total_distance
"[39.8,50.1)",1,4876,0.042053334253286,50.1,total_distance
"[39.8,50.1)",8,224,0.0246859158033943,50.1,total_distance
"[39.8,50.1)",7,116611,0.0366612025877978,50.1,total_distance
"[39.8,50.1)",All Data,255003,0.023277981379112,50.1,total_distance
"[50.1,63.1)",3,543,0.00672829103885805,63.1,total_distance
"[50.1,63.1)",4,75158,0.0353405141626788,63.1,total_distance
"[50.1,63.1)",6,33512,0.0441566142027973,63.1,total_distance
"[50.1,63.1)",1,4105,0.0354038017042122,63.1,total_distance
"[50.1,63.1)",8,226,0.0249063257659246,63.1,total_distance
"[50.1,63.1)",7,63544,0.0199775274823046,63.1,total_distance
"[50.1,63.1)",All Data,177093,0.0161659570921561,63.1,total_distance
"[63.1,79.4)",4,59350,0.0279073354207801,79.4,total_distance
"[63.1,79.4)",3,435,0.00539006740681998,79.4,total_distance
"[63.1,79.4)",6,25037,0.0329896499700238,79.4,total_distance
"[63.1,79.4)",1,2969,0.0256063062752268,79.4,total_distance
"[63.1,79.4)",8,179,0.0197266916464624,79.4,total_distance
"[63.1,79.4)",7,34508,0.0108489317379984,79.4,total_distance
"[63.1,79.4)",All Data,122489,0.0111814239877415,79.4,total_distance
"[79.4,100)",3,440,0.00545202220459952,100,total_distance
"[79.4,100)",6,20359,0.0268257492407123,100,total_distance
"[79.4,100)",4,48670,0.0228854256938394,100,total_distance
"[79.4,100)",1,2428,0.0209404215682892,100,total_distance
"[79.4,100)",8,104,0.0114613180515759,100,total_distance
"[79.4,100)",7,22988,0.00722717175127815,100,total_distance
"[79.4,100)",All Data,95002,0.00867226968693857,100,total_distance
